2806	整烫前幅上节*2	0.20	100			中烫
2807	整烫领绑带*2	0.30	100			中烫
2811	烫领定型朴	0.20	100			中烫
2835	烫腰带朴	0.12	100			中烫
2871	整烫袖夹*2领	0.24	100			中烫
2893	烫撞布捆条	0.40	100			中烫
2894	烫弧形撞布	0.15	100			中烫
2955	整烫领褶、腰褶	0.16	100			中烫
3034	烫内贴朴*3	0.15	100			中烫
3110	烫脚贴止口*2	0.16	100			中烫
3111	烫腰袢朴*2	0.10	100			中烫
3206	烫脚口朴*4	0.40	100			中烫
3207	烫脚口止口*4	0.60	100			中烫
3216	整烫前膝盖*2	0.20	100			中烫
3218	烫耳袢朴*2止口*2	0.30	100			中烫
3237	烫袋唇*5袋盖*4领*2门襟*2龟背朴	0.92	100			中烫
3243	烫隐形拉链	0.15	100			中烫
3256	烫风琴袋止口*2	0.30	100			中烫
3259	烫下脚朴*6	0.30	100			中烫
3266	烫撞布止口*3	0.45	100			中烫
3267	烫手提带止口*4	0.40	100			中烫
3297	大烫外件	0.30	100			中烫
3309	整烫绑带*2	0.40	100			中烫
3317	烫筒贴止口	0.20	100			中烫
3394	烫钮门朴*2	0.10	100			中烫
3397	打揽缩水*2	0.06	100			中烫
3399	烫袖背撞布止口*2	0.30	100			中烫
3401	烫豆腐块朴*4	0.20	100			中烫
3404	烫袖贴朴*4	0.20	100			中烫
3479	烫肩带朴*4	0.24	100			中烫
3480	烫肩带止口*4	0.30	100			中烫
3496	烫左贴两边止口	0.10	100			中烫
3497	整烫门边*1	0.15	100			中烫
3498	烫门襟朴*1	0.10	100			中烫
3527	烫内贴朴	0.08	100			中烫
3541	整烫前上节*2	0.40	100			中烫
3548	烫门襟朴*2龟背朴	0.25	100			中烫
3595	烫领贴朴	0.06	100			中烫
3721	烫帽沿止口	0.15	100			中烫
3747	烫后中朴*4	0.24	100			中烫
3748	整烫后中*2后背*2	0.40	100			中烫
3757	整烫袋风琴条*4	0.20	100			中烫
3773	烫门边朴*4	0.40	100			中烫
3777	烫前幅朴*2	0.20	100			中烫
3788	烫袖袢止口*2	0.30	100			中烫
3790	烫前夹撞布止口*4	0.20	100			中烫
3792	烫袖口朴*8	0.40	100			中烫
3793	烫袖口止口*8	0.80	100			中烫
3805	烫袋盖朴*12	0.72	100			中烫
3821	整烫前折	0.15	100			中烫
3861	烫袋止口*4	0.40	100			中烫
3878	整烫前后幅	0.20	100			中烫
3907	橡筋打气	0.05	100			中烫
3922	烫中腰折*3	2.00	100			中烫
3962	烫肩贴*2袖口*2下脚撞布两边止口*2	0.50	100			中烫
3963	烫前后撞布止口*2	0.40	100			中烫
3999	烫贴朴12烫贴止口*12	2.40	100			中烫
4037	烫门筒朴*4	0.30	100			中烫
4046	整烫腰带（1.5米内）	0.40	100			中烫
4047	整烫腰带（2米内）	0.50	100			中烫
4062	中烫侧缝*2内裤开骨*2	0.40	100			中烫
4063	中烫里布侧缝*2内裤倒骨*2	0.30	100			中烫
4071	整烫腰带	0.40	100			中烫
4091	整烫前罩杯折*2	0.30	100			中烫
4112	整烫荷叶袖*2	0.30	100			中烫
4113	整烫荷叶腰	0.30	100			中烫
4239	整烫前幅折	0.30	100			中烫
4313	整烫袖口*2	0.20	100			中烫
