AL169	1	0	前幅丝网印（胶浆）	Logo尺寸： 阿拉伯字符logo宽31cm高随比例调节（上logo）Logo位置：领下居中8cm 丝网印颜色：白色	1564664
AL169	1	0	前幅丝网印（胶浆）	Logo尺寸：字母logo宽25cm Logo位置：与上logo间距1cm 丝网印颜色：白色	1564665
AL169	1	0	后幅丝网印（胶浆）	Logo尺寸：阿拉伯字符 logo宽8cm Logo位置：领下居中3cm 丝网印颜色：白色	1564666
AL169	1	0	后幅丝网印（胶浆）	Logo尺寸：字母logo宽6.5cm 高3毫米 Logo位置：同前幅logo间距比例一致（是比例一致不是相差1cm） 丝网印颜色：白色	1564667
AL169	1	0	后幅丝网印注意	两个字母的间距同前幅logo比例调节即可	1564668
AL169	2	1			1564669
AL169	2	0	面料	面料-盈晟针织 1966# 潮牌大卫衣 420Gsm 色号-活性黑 30	1564670
AL169	2	0	车缝	1.侧缝 外无线头做法  袖窿 外无线头做法 参考样图	1564671
AL169	2	0	罗纹	领口需要配罗纹，罗纹高2.3cm  袖口不要配，正常做压线即可	1564672
AL169	2	0	主唛	无	1564673
AL169	2	0	洗水唛	无	1564674
AL169	2	0	吊牌	无	1564675
AL169	2	0	　	　	1564676
AL169	3	1			1564677
AL169	3	0	包装袋	无	1564678
AL169	3	0	　	　	1564679
AL169	4	1			1564680
AL169	4	0	第二次样板修改意见1	尺寸修改（衣长+胸围+肩宽+袖长）尺寸新增(领深）做高领款	1564681
AL169	4	0	第二次样板修改意见2	后幅领口印花需要对准中心，第一次样板定位偏差值0.3cn	1564682
AL169	4	0	第二次样板修改意见3	车缝袖口需要采用单压，离袖口距离3cm	1564683
AL169	4	0	　	　	1564684
AL169	4	0	　	　	1564685
AL170	1	1			1450676
AL170	1	0	前幅右裤脚丝网印（胶浆）	阿拉伯字母(上)Logo尺寸:11cm宽高随比例调节 Logo位置:较底部logo间距差0.5cm 白色丝网印  侧开1cm	1450677
AL170	1	0	前幅右裤脚丝网印（胶浆）	字母（下）Logo尺寸：宽9cm 高5毫米  Logo位置：底部上5cm 白色丝网印 侧开1cm	1450678
AL170	2	1			1450679
AL170	2	0	面料	面料-盈晟针织 1966# 潮牌大卫衣 420Gsm 色号-活性黑 30	1450680
AL170	2	0	吊绳	吊绳参考附图即可，配色塑料头吊绳	1450681
AL170	2	0	腰头做法	参考附图即可 黄色样式	1450682
AL170	2	0	腰头间车缝	不要埋线进去，平滑车缝即可,参考黑色样式	1450683
AL170	2	0	版型注意	穿着版型纸样尽可能让人体模型穿起来不要太卷边，做垂感强的效果	1450684
AL170	2	0	主唛	无	1450685
AL170	2	0	洗水唛	无	1450686
AL170	2	0	吊牌	无	1450687
AL170	3	1			1450688
AL170	3	0	包装袋	无	1450689
AL170	4	1			1450690
AL170	4	0	第二次修改意见1	尺寸修改（裤长+裤脚口），尺寸新增（腰头高+前浪+大腿围）	1450691
AL170	4	0	第二次修改意见2	裤脚上车缝需要做高一点，裤脚上3cm，单压参考附图即可	1450692
AL170	4	0	第二次修改意见3	吊绳，需要配对与客户手中一致的，腰绳需要配置金属头黑色配色	1450693
AL170	4	0	第二次修改意见4	Logo定位 前幅logo侧开定位 侧开1cm，参考附图	1450694
AL170	4	0	　	　	1450695
AL172-01	1	1		面料要普洗，照样板裁	1540651
AL172-01	1	0	前幅直喷	Logo位置:领下居中15cm Logo尺寸:宽34cm高随比例调节	1540652
AL172-01	1	0	后幅直喷	Logo位置:领下居中15cmLogo尺寸:宽41cm高随比例调节注意保持与样式图一致	1540653
AL172-01	2	1			1540654
AL172-01	2	0	主布面料	德盛针织-9311# 26支棉单面食毛150Gsm纯棉本布号-N0.69粉	1540655
AL172-01	2	0	领口罗纹	配色 领口螺纹 德盛针织-9311# 26支棉单面食毛色号-N0.65 棕色	1540656
