24170	PDDA222-1	PDDA222		里布	四面弹里布	配主布色	0.6600000262260437	10	1	0.6600000262260437	
24170	PDDA222-1	PDDA222		辅料	3号隐形拉链	白色	1	3	1	1	
24171	PDDW232-1	PDDW232		主面料	广州新盛	米白色	0.75	10	1	0.75	
24171	PDDW232-1	PDDW232		辅料	橡筋耳仔	配主布色	3	10	1	3	
24171	PDDW232-1	PDDW232		辅料	蘑菇扣	白色	4	10	1	4	
24172	ZMJ015-1	ZMJ015		主面料	成衣采购	黑色	1	1	50	50	
24174	Er017-5	Er017		主面料	新鹏宇针织	白色	1.090000033378601	10	50	54.500001668930054	
24174	Er017-5	Er017		面料	祥盛螺纹	配主布色	0.03999999910593033	10	50	1.9999999552965164	
24175	JQ1429-6	JQ1429	锴泓纺织	主面料	锴泓纺织	144#蓝色	0.14000000059604645	15	1	0.14000000059604645	
24175	JQ1429-6	JQ1429		面料	锴泓纺织	96#棕色（撞布）	0.11999999731779099	15	1	0.11999999731779099	
24175	JQ1429-6	JQ1429	华顺橡筋	辅料	丈根1/4	白色（瑜伽）	1	15	1	1	
24176	DH968S	DH968S	伟盛纺织	主面料	伟盛纺织	15#浅灰色	1.25	15	1	1.25	
24176	DH968S	DH968S	伟盛纺织	面料	伟盛纺织	16#橙色	0.6000000238418579	15	1	0.6000000238418579	
24176	DH968S	DH968S	添彩纽扣	辅料	扣子	1.2CM染灰色	10	5	1	10	
24176	DH968S	DH968S	前卫衬朴	辅料	30D雪纺朴	白色	0.3499999940395355	10	1	0.3499999940395355	
24177	XH3119-1	XH3119	巨丰纺织	主面料	巨丰纺织	23#黑色	0.9599999785423279	15	1	0.9599999785423279	
24177	XH3119-1	XH3119	祥盛罗纹	面料	祥盛罗纹 1*1 32支罗纹，	配主布颜色	0.02500000037252903	15	1	0.02500000037252903	
24177	XH3119-1	XH3119	华顺橡筋	辅料	透明带1/4		0.699999988079071	10	1	0.699999988079071	
24178	XH3128-2	XH3128		主面料	盈晟针织	黑色	1.5800000429153442	10	1	1.5800000429153442	
24178	XH3128-2	XH3128		辅料	腰绳	白色扁	1	3	1	1	
24181	TWS-10390	TWS-10390		主面料	金源布行	110好米黄	0.8399999737739563	10	50	41.999998688697815	
24181	TWS-10390	TWS-10390		主面料	金源布行-1	蓝色	0.8399999737739563	10	35	29.39999908208847	
24181	TWS-10390	TWS-10390		辅料	橡筋	3/4白色	1	10	85	85	
24182	TWS-10249	TWS-10249		主面料	晟丰麻棉ML630	白色	1.4299999475479126	10	100	142.99999475479126	
24182	TWS-10249	TWS-10249		里布	四面弹里布	蓝色	0.3700000047683716	10	250	92.5000011920929	
24182	TWS-10249	TWS-10249		辅料	橡筋	白色1 1/2	1	10	350	350	
24182	TWS-10249	TWS-10249		主面料	晟丰麻棉CS120苦麻洗水	藏青色	1.4299999475479126	10	250	357.49998688697815	
24182	TWS-10249	TWS-10249		里布	里布	白色	0.3700000047683716	10	100	37.00000047683716	
24183	TWS-10310	TWS-10310		主面料	新鹏宇针织	蓝色	0.3799999952316284	10	50	18.99999976158142	
24183	TWS-10310	TWS-10310		主面料	新鹏宇针织	黄色	0.3799999952316284	10	50	18.99999976158142	
24183	TWS-10310	TWS-10310		主面料	新鹏宇针织	白色	0.3799999952316284	10	80	30.399999618530273	
24183	TWS-10310	TWS-10310		主面料	新鹏宇针织-2	黑色	0.3799999952316284	10	30	11.399999856948853	
24184	TWS-10385	TWS-10385		主面料	远东华新纺织	米黄色	0.12999999523162842	10	50	6.499999761581421	
24184	TWS-10385	TWS-10385		辅料	鱼骨1/4	白色	0.20000000298023224	10	50	10.000000149011612	
24184	TWS-10385	TWS-10385		辅料	排排扣	配主布色	1	3	50	50	
24184	TWS-10385	TWS-10385		辅料	棉织带	配主布色	0.8999999761581421	10	50	44.999998807907104	
24184	TWS-10385	TWS-10385		辅料	调节扣	银色0.6	2	10	50	100	
24185	TWS-10375	TWS-10375		主面料	冠正纺织	37好黄色	1.0199999809265137	10	50	50.999999046325684	
24186	TWS-10376	TWS-10376		主面料	金源布行	黑色	0.33000001311302185	10	60	19.80000078678131	
24186	TWS-10376	TWS-10376		面料	金源布行-2	米黄色	0.029999999329447746	10	60	1.7999999597668648	
24187	TWS-10370	TWS-10370		主面料	40支棉4*4坑条857#	白色	0.3499999940395355	10	75	26.249999552965164	
24188	TWS-10315	TWS-10315		主面料	龙丰布行LF1273C	藏青色	0.5	10	100	50	
24188	TWS-10315	TWS-10315		主面料	鑫亿布行-1	黄色	0.5	10	100	50	
24188	TWS-10315	TWS-10315		主面料	鑫亿布行	白色	0.5	10	100	50	
24189	TWS-10369	TWS-10369		主面料	40支全棉平纹扎染Z320#	黑色	0.5400000214576721	10	50	27.000001072883606	
24190	TWS-10371	TWS-10371		主面料	金源布行	米黄色	0.6200000047683716	10	50	31.00000023841858	
24190	TWS-10371	TWS-10371		主面料	金源布行-1	浅蓝色	0.6200000047683716	10	50	31.00000023841858	
24191	XH3128-3	XH3128		主面料	盈晟针织	黑色	1.5800000429153442	10	65	102.70000278949738	
24191	XH3128-3	XH3128		辅料	腰绳	黑色扁绳	1	3	65	65	
24191	XH3128-3	XH3128	华顺橡筋	辅料	丈巾2寸宽	黑色	1	15	65	65	
24192	XH3119-2	XH3119	巨丰纺织	主面料	巨丰纺织	23#黑色	0.9599999785423279	15	70	67.19999849796295	
24192	XH3119-2	XH3119	祥盛罗纹	面料	祥盛罗纹 1*1 32支罗纹，	配主布颜色	0.02500000037252903	15	70	1.750000026077032	
