13887	AL214	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
13886	AL215	主面料	德盛针织	德盛针织	36#活性黑	180	1.35	10	33.00	33.00	
13886	AL215	面料	祥盛罗纹	罗纹2X2	配主布颜色	120	0.15	10	40.00	40.00	
13886	AL215	辅料	华顺橡筋	丈巾2寸宽	黑色		1	15	0.70	0.70	
13886	AL215	辅料	棉绳 恒发辅料	腰绳	配主布颜色圆（银色头）		1	3	2.00	2.00	
13895	AL218	主面料	裕隆纺织	裕盛纺织	3#黄色	160	1.58	15	36.00	36.00	
13895	AL218	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13895	AL218	辅料	棉绳 恒发辅料	透明带1/4			0.85	10	0.15	0.15	
6115	AM024	主面料		涤蜡布-紫黄肯特	紫黄肯特		3.95	10	3.00	3.00	
12470	AM062	主面料		蜡布	绿色花		3.8	10	3.00	3.00	
12470	AM062	里布		韩国里布	黑色		0.3	10	2.50	2.50	
13591	AMY-01-3	主面料	针织 潮新布行	潮新布行	20#蓝色	175	0.68	15	9.30	9.30	
13591	AMY-01-3	面料		祥盛螺纹	配主布色2x2螺纹		0.03	15	40.00	40.00	
13896	DH1002S	主面料	德盛针织	德盛针织	110#花灰色	186	0.85	10	0.00	0.00	
13896	DH1002S	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	170	0.03	15	40.00	40.00	
13896	DH1002S	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13896	DH1002S	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
13896	DH1002S	辅料	永豪辅料	四合扣	配主布颜色1.5CM		12	3	0.35	0.35	
13898	DH1005S	主面料	华夏纺织	华夏针织	253#浅绿色	174	0.8	10	0.00	0.00	
13898	DH1005S	主面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	160	0.03	15	40.00	40.00	
13898	DH1005S	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13898	DH1005S	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
13898	DH1005S	辅料	永豪辅料	四合扣	配主布颜色1.5CM		12	3	0.35	0.35	
13995	DH1008K	主面料	聚能蜡布	蜡布	颜色1	110	1.98	15	13.00	13.00	
13995	DH1008K	辅料	华顺橡筋	2 1/2寸宽丈巾	白色		0.6	15	0.70	0.70	
7473	DH501S	主面料	帝人纺织	帝人布行	3# 粉色	148	0.5	15	21.00	21.00	
7473	DH501S	里布	帝人纺织	广丰纺织	170# 粉色	144	0.4	15	21.00	21.00	
7473	DH501S	面料	祥盛罗纹	罗纹2X2	（配主布颜色）	120	0.1	15	40.00	40.00	
7473	DH501S	辅料	利泰辅料	四合扣（直径1.5CM)	染主布颜色（红色配粉色）		6	3	0.35	0.35	
7473	DH501S	辅料	华顺橡筋	1寸丈根	配主布颜色		0.3	15	3.50	3.50	
7473	DH501S	面料	帝人纺织	帝人布行	8#黑色	145	0.5	15	21.00	21.00	
7473	DH501S	里布	广丰纺织	广丰纺织	黑色	145	0.4	15	21.00	21.00	
10875	DH811S	主面料	盛丰纺织	盛丰布业	75#杏色	114	1.60	15	13.00	13.00	
10875	DH811S	辅料	金点包扣	扣子	金色2.2CM		2	3	0.80	0.80	
10875	DH811S	面料		新鹏宇针织	43#深灰色	180	1.09	15	25.00	25.00	
